args: Namespace(k=400, delta=400, beta=200000, mu=100000, l=1, tkc=50, year='2014', month='11', n_users=370, user_id=None, seed=None, sample_size=40000, filename='transformed_date_2014-11-eletricity_consumption_sample_164102.csv', display=False, disable_dp=False, phi=None, big_beta=None, history=False)
Execution_Time:  0:40:39.768857
         8841031244 function calls (8808911488 primitive calls) in 2439.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3819585825/3819585824  352.718    0.000  352.791    0.000 {built-in method builtins.isinstance}
511369592  350.324    0.000  589.643    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:77(difference)
303476392  294.161    0.000 1158.506    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1016(__getitem__)
303476392  213.995    0.000  525.384    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1139(_get_value)
 31879624  206.035    0.000 1695.169    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:149(information_loss_given_t)
303476392  170.696    0.000  193.051    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:3763(get_loc)
255684796  153.706    0.000  765.621    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:45(information_loss)
303476393  127.975    0.000  229.340    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2678(check_dict_or_set_indexers)
303476397   66.895    0.000  118.339    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:750(_values)
255684796   64.463    0.000  830.084    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:109(__truediv__)
303476397   51.438    0.000   51.444    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1960(internal_values)
303476393   48.836    0.000   73.174    0.000 /usr/lib/python3/dist-packages/pandas/core/common.py:367(apply_if_callable)
 32041575   48.650    0.000  453.387    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:198(information_loss)
511369592   46.862    0.000   46.862    0.000 {built-in method builtins.abs}
127798952   32.735    0.000   32.735    0.000 {built-in method builtins.min}
127718513   31.011    0.000   31.011    0.000 {built-in method builtins.max}
 31839600   26.251    0.000 2173.282    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:117(tuple_enlargement)
303476444   24.338    0.000   24.338    0.000 {built-in method builtins.callable}
303476392   22.355    0.000   22.355    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:6612(_maybe_cast_indexer)
    40399   15.531    0.000   16.345    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
 31959600   15.367    0.000  143.190    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:267(__len__)
96479945/64360300   14.295    0.000  154.612    0.000 {built-in method builtins.len}
127678501   12.931    0.000   12.931    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:11(__init__)
    40000   10.591    0.000 2189.490    0.055 /home/service/castle_analysis/castle-performance-analysis/src/castle.py:391(best_selection)
 48079400   10.069    0.000  186.678    0.000 /home/service/castle_analysis/castle-performance-analysis/src/item.py:52(__getitem__)
    40000    8.908    0.000  224.040    0.006 /home/service/castle_analysis/castle-performance-analysis/src/castle.py:429(delay_constraint)
 64042008    7.548    0.000    7.548    0.000 {method 'items' of 'dict' objects}
 15999824    3.072    0.000    3.072    0.000 {method 'add' of 'set' objects}
 15959800    2.704    0.000    2.704    0.000 {method 'update' of 'set' objects}
    40000    0.750    0.000 2435.576    0.061 /home/service/castle_analysis/castle-performance-analysis/src/castle.py:204(insert)
    80800    0.409    0.000    0.409    0.000 {method 'reduce' of 'numpy.ufunc' objects}
40003/40002    0.394    0.000    2.469    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:371(__init__)
    40012    0.238    0.000    0.508    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:519(sanitize_array)
    80798    0.207    0.000    0.689    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
   242374    0.158    0.000    3.245    0.000 /home/service/castle_analysis/castle-performance-analysis/src/castle.py:370(<genexpr>)
    40003    0.157    0.000    0.220    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:6147(__finalize__)
    40400    0.139    0.000   19.844    0.000 /home/service/castle_analysis/castle-performance-analysis/src/castle.py:354(update_tau)
    40000    0.138    0.000    1.038    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:41(insert)
    40001    0.130    0.000    2.831    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:1401(iterrows)
    40002    0.123    0.000    0.410    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1825(from_array)
   360000    0.121    0.000    0.236    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:32(update)
    40006    0.119    0.000    0.140    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:274(__init__)
    80798    0.113    0.000    0.801    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2979(prod)
    40000    0.107    0.000    1.165    0.000 /home/service/castle_analysis/castle-performance-analysis/src/castle.py:188(update_global_ranges)
