args: Namespace(k=50, delta=200, beta=200000, mu=100000, l=1, tkc=50, year='2014', month='11', n_users=370, user_id=None, seed=None, sample_size=40000, filename='transformed_date_2014-11-eletricity_consumption_sample_164102.csv', display=False, disable_dp=False, phi=None, big_beta=None, history=False)
USING RANDOM SEED: 42
Execution_Time:  0:07:25.063990
         968976940 function calls (932511518 primitive calls) in 445.066 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
26216390/39953   29.303    0.000  129.996    0.003 /usr/lib/python3.12/copy.py:118(deepcopy)
231870592/231866803   28.974    0.000   37.800    0.000 {built-in method builtins.isinstance}
 13790549   13.692    0.000   25.672    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:3763(get_loc)
 12635700   12.639    0.000   51.465    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1016(__getitem__)
 15241944   10.602    0.000   17.832    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:77(difference)
   479436   10.095    0.000  149.885    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2141(_setitem_with_indexer_missing)
 12631912    9.535    0.000   23.290    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:1139(_get_value)
1002663/1002662    7.773    0.000   55.428    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:371(__init__)
  1860814    7.234    0.000    8.749    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:639(copy)
  3552149    6.901    0.000   12.866    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:6206(__setattr__)
 49670370    6.789    0.000    6.789    0.000 {method 'get' of 'dict' objects}
  1489684    6.704    0.000   22.522    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:519(sanitize_array)
  1910286    6.467    0.000    8.670    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:6147(__finalize__)
   946340    6.457    0.000   51.855    0.000 /home/service/castle_analysis/castle-performance-analysis/src/cluster.py:149(information_loss_given_t)
2140484/39953    5.851    0.000  129.631    0.003 /usr/lib/python3.12/copy.py:247(_reconstruct)
  1892364    5.838    0.000    9.473    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:556(_array_equivalent_float)
 13118925    5.775    0.000   10.293    0.000 /usr/lib/python3/dist-packages/pandas/core/indexing.py:2678(check_dict_or_set_indexers)
  3030817    5.759    0.000    8.125    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:649(_simple_new)
2140484/39953    5.698    0.000  129.198    0.003 /usr/lib/python3.12/copy.py:217(_deepcopy_dict)
  1862708    5.419    0.000   19.333    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:308(apply)
  2869161    5.138    0.000    6.851    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:274(__init__)
   479436    5.123    0.000   11.496    0.000 /usr/lib/python3/dist-packages/numpy/lib/function_base.py:5369(insert)
  7620972    4.638    0.000   23.157    0.000 /home/service/castle_analysis/castle-performance-analysis/src/range.py:45(information_loss)
31345872/25367994    4.636    0.000    6.805    0.000 {built-in method builtins.len}
  2426788    4.500    0.000    4.500    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 27647276    4.456    0.000    4.881    0.000 {built-in method builtins.getattr}
   926496    4.273    0.000    6.270    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:2724(inferred_type)
